"Age" "Gender" "BMI" "Depression" "Depressed" "Sports" "Healthy_eating" "Dancing" "Music" "Slow_vs_Fast" "Dance" "Folk" "Country" "Classical" "Musical" "Pop" "Rock" "Metal_Hardrock" "Punk" "Hiphop_Rap" "Reggae_Ska" "Swing_Jazz" "Rocknroll" "Alternative" "Latino" "Techno_Trance" "Opera" "Movies" "Horror" "Thriller" "Comedy" "Romantic" "Sci-fi" "War" "Tales" "Animated" "Documentary" "Western" "Action"
"1" 20 "female" 18.066167337875 1.7 FALSE 3 4 3 5 3 2 1 2 2 1 5 5 1 1 1 1 1 3 1 1 1 1 5 4 2 5 4 4 1 5 5 3 1 2
"2" 19 "female" 21.8299521999323 2.7 FALSE 1 3 1 4 4 2 1 1 1 2 3 5 4 4 1 3 1 4 4 2 1 1 5 2 2 4 3 4 1 3 5 4 1 4
"3" 20 "female" 21.6296487603306 3.1 FALSE 3.5 3 5 5 5 2 2 3 4 5 3 5 3 4 1 4 3 5 5 5 1 3 5 3 4 4 2 4 2 5 5 2 2 1
"4" 22 "female" 19.9432125473229 3.9 TRUE 1 3 1 5 3 2 1 1 1 1 2 2 1 4 2 2 1 2 5 1 2 1 5 4 4 3 3 4 3 1 2 5 1 2
"5" 20 "female" 20.4152249134948 2.9 FALSE 2 4 1 5 3 4 3 2 4 3 5 3 1 2 5 3 2 1 2 4 2 2 5 4 4 5 2 3 3 4 4 3 1 4
"6" 20 "male" 22.2569083130998 2.6 FALSE 4.5 2 1 5 3 2 3 2 3 3 2 5 5 3 4 3 4 4 5 3 1 3 5 5 5 5 2 3 3 4 3 3 2 4
"7" 20 "female" 15.9596539947014 2.2 FALSE 4 4 3 5 5 5 3 1 2 2 5 3 1 1 3 1 1 2 3 3 5 2 4 2 1 5 3 1 3 5 5 3 1 2
"8" 19 "male" 26.5831758034026 2.6 FALSE 4.5 2 1 5 3 3 2 1 2 2 4 5 1 2 3 2 2 3 1 2 3 2 5 4 4 5 2 3 3 4 4 3 1 3
"9" 19 "female" 19.8176773682124 2.7 FALSE 4 3 5 5 3 2 5 2 2 5 3 5 2 3 2 4 4 4 4 5 1 2 5 2 1 5 5 1 3 4 4 4 1 2
"10" 19 "female" 19.5918367346939 3.1 FALSE 3 3 1 5 3 3 2 1 2 3 4 3 2 1 3 2 2 3 3 3 4 2 5 5 4 5 3 3 2 5 5 3 1 3
"11" 17 "female" 19.3698347107438 3.6 TRUE 4 3 1 5 3 1 1 1 4 1 2 5 1 1 1 1 2 2 5 2 1 2 5 3 4 4 3 2 5 5 5 5 1 4
"12" 24 "female" 19.4869614512472 3.8 TRUE 4 3 3 5 3 1 2 1 4 3 3 5 4 2 3 1 1 4 3 2 1 2 5 1 5 4 3 1 4 5 3 3 1 1
"13" 19 "female" 20.2020202020202 2.8 FALSE 3 3 3 5 3 5 3 2 1 5 5 2 1 1 2 1 3 2 1 3 1 1 5 3 2 5 5 2 1 5 4 2 1 3
"14" 22 "female" 18.6122448979592 2.9 FALSE 2 1 1 5 3 2 1 1 2 3 4 5 2 5 3 4 4 4 4 1 1 1 4 1 3 5 4 1 1 5 5 3 1 4
"15" 18 "male" 24.5778671518401 3.5 TRUE 4 5 1 1 3 2 2 3 4 3 3 5 5 5 2 4 2 3 3 2 1 2 5 5 5 5 3 3 5 4 4 5 2 4
"16" 19 "female" 21.2244897959184 2.9 FALSE 3 3 2 5 3 3 1 1 1 2 4 4 1 3 2 3 2 3 1 1 4 1 5 3 3 5 3 2 2 2 2 4 1 2
"17" 20 "female" 23.0300453514739 3.6 TRUE 2 3 3 5 3 3 3 3 2 2 4 4 2 3 3 4 3 3 1 2 1 3 5 4 2 5 5 5 2 4 4 5 1 3
"18" 18 "male" 23.8087970452672 2.6 FALSE 3 4 3 5 3 5 4 3 4 5 5 4 4 3 4 4 4 4 4 4 4 3 5 2 4 5 4 5 5 4 4 5 5 5
"19" 18 "male" 25.4640108646446 2.5 FALSE 3 3 1 5 4 3 3 2 4 2 2 4 5 2 1 4 5 4 3 4 3 2 3 1 4 4 2 3 5 4 4 5 2 5
"20" 20 "male" 22.2569083130998 2.7 FALSE 5 2 1 5 3 3 2 3 4 3 2 5 5 4 4 3 5 4 5 3 3 4 5 5 5 5 3 3 4 3 3 3 2 4
"21" 24 "male" 24.5693143716036 2.5 FALSE 4 3 1 5 5 1 1 3 2 2 2 5 5 4 1 2 1 4 3 2 1 2 5 5 5 5 2 5 3 3 4 5 2 5
"22" 20 "female" 19.1326530612245 3.4 TRUE 3 3 5 5 3 4 2 2 2 4 4 5 2 3 3 3 3 3 1 4 1 1 5 2 4 5 5 4 3 5 5 3 2 2
"23" 19 "female" 18.2867797339453 3.6 TRUE 4.5 4 5 5 2 3 1 1 4 3 3 5 5 5 1 1 1 2 3 2 3 4 5 4 2 5 5 2 2 2 2 3 1 4
"24" 20 "female" 19.3771626297578 3.2 FALSE 3.5 3 4 5 3 4 2 1 2 3 5 1 1 1 3 1 2 1 1 4 2 1 5 1 2 5 5 1 1 4 3 3 1 1
"25" 22 "female" 23.1404958677686 3.2 FALSE 4.5 3 3 5 5 5 5 4 5 3 4 4 3 2 2 1 3 5 3 5 2 2 5 3 2 5 4 2 5 5 5 5 2 1
"26" 19 "female" 18.8189243102864 2.5 FALSE 3.5 4 1 4 5 3 4 1 3 2 2 4 2 4 2 4 2 3 4 3 4 2 5 2 4 3 4 5 3 2 4 5 2 5
"27" 20 "male" 22.8774057021934 1.9 FALSE 5 5 3 5 3 5 1 1 1 1 3 4 1 3 5 2 1 4 3 2 3 1 5 3 3 5 3 1 5 4 4 3 4 4
"28" 19 "female" 21.2585034013605 3 FALSE 4.5 3 4 5 4 3 4 2 3 3 3 4 1 3 3 4 3 4 3 4 3 2 5 3 2 5 5 2 4 5 5 4 2 2
"29" 25 "male" 25.9786795664248 2.6 FALSE 3 3 1 4 3 4 3 3 3 3 4 4 2 2 4 3 4 3 3 3 3 3 5 2 5 4 3 4 4 3 3 4 3 5
"30" 22 "female" 25.5354463915222 2.5 FALSE 2 3 4 4 3 4 1 3 2 3 5 3 1 1 3 3 2 1 1 5 1 2 4 1 1 5 5 2 2 5 5 4 1 1
"31" 20 "female" 18.4265342092613 1.9 FALSE 2 3 1 5 5 3 1 3 2 3 3 4 3 4 4 2 2 4 4 2 3 1 5 5 5 5 5 2 3 5 5 3 2 4
"32" 27 "female" 24.2214532871972 2.4 FALSE 4.5 4 3 5 4 2 2 3 4 5 4 3 1 1 1 3 4 4 3 2 1 5 4 3 4 4 3 1 3 5 4 5 2 3
"33" 20 "male" 21.3859363528999 2.3 FALSE 4 3 2 5 4 3 2 1 3 4 4 5 3 4 2 3 3 4 4 2 1 1 5 2 3 5 4 4 2 2 5 3 1 5
